YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEP_DELAY,DEP_DEL15,ARR_DELAY,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,3,1,5,3/1/2024 12:00:00 AM,9E,20363,12953,1295304,31703,LGA,"New York, NY",13933,1393305,33933,ORH,"Worcester, MA",-15.00,0.00,-25.00,0.00,0.00,,0.00,58.00,146.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,9E,20363,13933,1393305,33933,ORH,"Worcester, MA",12953,1295304,31703,LGA,"New York, NY",-9.00,0.00,-24.00,0.00,0.00,,0.00,71.00,146.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10423,1042302,30423,AUS,"Austin, TX",10721,1072102,30721,BOS,"Boston, MA",22.00,1.00,8.00,0.00,0.00,,0.00,210.00,1698.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",10423,1042302,30423,AUS,"Austin, TX",-9.00,0.00,-13.00,0.00,0.00,,0.00,294.00,1698.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-6.00,0.00,-23.00,0.00,0.00,,0.00,143.00,728.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-6.00,0.00,-6.00,0.00,0.00,,0.00,160.00,728.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-4.00,0.00,-20.00,0.00,0.00,,0.00,144.00,728.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-4.00,0.00,-18.00,0.00,0.00,,0.00,144.00,728.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-3.00,0.00,-16.00,0.00,0.00,,0.00,150.00,728.00,,,,,
2024,3,1,5,3/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-2.00,0.00,-19.00,0.00,0.00,,0.00,142.00,728.00,,,,,
