YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEP_DELAY,DEP_DEL15,ARR_DELAY,ARR_DEL15,CANCELLED,CANCELLATION_CODE,DIVERTED,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2024,4,1,1,4/1/2024 12:00:00 AM,9E,20363,12953,1295304,31703,LGA,"New York, NY",13933,1393305,33933,ORH,"Worcester, MA",-10.00,0.00,-15.00,0.00,0.00,,0.00,58.00,146.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,9E,20363,13933,1393305,33933,ORH,"Worcester, MA",12953,1295304,31703,LGA,"New York, NY",-2.00,0.00,-4.00,0.00,0.00,,0.00,76.00,146.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10423,1042302,30423,AUS,"Austin, TX",10721,1072102,30721,BOS,"Boston, MA",105.00,1.00,82.00,1.00,0.00,,0.00,207.00,1698.00,0.00,0.00,0.00,0.00,82.00
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",10423,1042302,30423,AUS,"Austin, TX",-8.00,0.00,-26.00,0.00,0.00,,0.00,282.00,1698.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-5.00,0.00,-22.00,0.00,0.00,,0.00,137.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-5.00,0.00,-11.00,0.00,0.00,,0.00,144.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-3.00,0.00,-12.00,0.00,0.00,,0.00,145.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-2.00,0.00,-22.00,0.00,0.00,,0.00,132.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",-2.00,0.00,-19.00,0.00,0.00,,0.00,137.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",0.00,0.00,-24.00,0.00,0.00,,0.00,133.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11057,1105703,31057,CLT,"Charlotte, NC",11.00,0.00,-13.00,0.00,0.00,,0.00,130.00,728.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11278,1127805,30852,DCA,"Washington, DC",-10.00,0.00,9.00,0.00,0.00,,0.00,122.00,399.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11278,1127805,30852,DCA,"Washington, DC",-8.00,0.00,-19.00,0.00,0.00,,0.00,93.00,399.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11278,1127805,30852,DCA,"Washington, DC",-7.00,0.00,1.00,0.00,0.00,,0.00,113.00,399.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11278,1127805,30852,DCA,"Washington, DC",-4.00,0.00,-17.00,0.00,0.00,,0.00,92.00,399.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",-7.00,0.00,-16.00,0.00,0.00,,0.00,267.00,1562.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",-6.00,0.00,2.00,0.00,0.00,,0.00,285.00,1562.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",-6.00,0.00,7.00,0.00,0.00,,0.00,297.00,1562.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",-2.00,0.00,-10.00,0.00,0.00,,0.00,268.00,1562.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",-1.00,0.00,7.00,0.00,0.00,,0.00,285.00,1562.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",79.00,1.00,74.00,1.00,0.00,,0.00,271.00,1562.00,6.00,0.00,0.00,0.00,68.00
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12892,1289208,32575,LAX,"Los Angeles, CA",-10.00,0.00,-45.00,0.00,0.00,,0.00,363.00,2611.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12892,1289208,32575,LAX,"Los Angeles, CA",-10.00,0.00,-17.00,0.00,0.00,,0.00,393.00,2611.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12892,1289208,32575,LAX,"Los Angeles, CA",-5.00,0.00,-6.00,0.00,0.00,,0.00,405.00,2611.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12953,1295304,31703,LGA,"New York, NY",-10.00,0.00,-13.00,0.00,0.00,,0.00,72.00,184.00,,,,,
2024,4,1,1,4/1/2024 12:00:00 AM,AA,19805,10721,1072102,30721,BOS,"Boston, MA",12953,1295304,31703,LGA,"New York, NY",-9.00,0.00,-18.00,0.00,0.00,,0.00,77.00,184.00,,,,,
