Date,Facility,State,Region,DDSO Service Area,Class,Itinerant Air Carrier,Itinerant Air Taxi,Itinerant General Aviation,Itinerant Military,Itinerant Total,Local Civil,Local Military,Local Total,"Total
Operations"
11/30/2022,ATL,GA,ASO,ES,Towers with Radar,"1,943",71,8,0,"2,022",0,0,0,"2,022"
11/30/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,544,88,152,23,807,0,0,0,807
11/30/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,529,58,103,4,694,0,0,0,694
11/30/2022,BOS,MA,ANE,EN,Towers with Radar,921,168,32,2,"1,123",0,0,0,"1,123"
11/30/2022,BWI,MD,AEA,EN,Towers with Radar,532,45,16,1,594,0,0,0,594
11/30/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,134",163,63,2,"1,362",0,0,0,"1,362"
11/30/2022,DCA,DC,AEA,EN,Towers with Radar,835,23,13,8,879,0,0,0,879
11/30/2022,DEN,CO,ANM,WE,Towers with Radar,"1,428",268,3,0,"1,699",0,0,0,"1,699"
11/30/2022,DFW,TX,ASW,CE,Towers with Radar,"1,726",74,18,0,"1,818",0,0,0,"1,818"
11/30/2022,DTW,MI,AGL,CE,Towers with Radar,684,62,8,0,754,0,0,0,754
11/30/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,035",39,18,0,"1,092",0,0,0,"1,092"
11/30/2022,FLL,FL,ASO,ES,Towers with Radar,595,93,73,3,764,0,0,0,764
11/30/2022,IAD,VA,AEA,EN,Towers with Radar,469,224,114,0,807,0,0,0,807
11/30/2022,IAH,TX,ASW,CE,Towers with Radar,920,153,32,4,"1,109",0,0,0,"1,109"
11/30/2022,JFK,NY,AEA,EN,Towers with Radar,"1,259",9,15,0,"1,283",0,0,0,"1,283"
11/30/2022,LAS,NV,AWP,WE,Towers with Radar,993,278,103,41,"1,415",0,0,0,"1,415"
11/30/2022,LAX,CA,AWP,WE,Towers with Radar,"1,371",51,39,4,"1,465",0,0,0,"1,465"
11/30/2022,LGA,NY,AEA,EN,Towers with Radar,974,14,10,0,998,0,0,0,998
11/30/2022,MCO,FL,ASO,ES,Towers with Radar,921,35,45,2,"1,003",0,0,0,"1,003"
11/30/2022,MDW,IL,AGL,CE,Towers with Radar,467,70,65,0,602,0,0,0,602
11/30/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,154",100,53,0,"1,307",0,0,0,"1,307"
11/30/2022,MSP,MN,AGL,CE,Towers with Radar,689,112,21,12,834,0,0,0,834
11/30/2022,ORD,IL,AGL,CE,Towers with Radar,"1,514",417,26,0,"1,957",0,0,0,"1,957"
11/30/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,616,131,16,3,766,0,0,0,766
11/30/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,037",115,82,7,"1,241",0,0,0,"1,241"
11/30/2022,SAN,CA,AWP,WE,Towers with Radar,502,39,20,8,569,0,0,0,569
11/30/2022,SEA,WA,ANM,WE,Towers with Radar,948,14,1,0,963,0,0,0,963
11/30/2022,SFO,CA,AWP,WE,Towers with Radar,817,95,24,15,951,0,0,0,951
11/30/2022,SLC,UT,ANM,WE,Towers with Radar,604,136,156,10,906,0,0,0,906
11/30/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,444,64,85,2,595,0,0,0,595
12/01/2022,ATL,GA,ASO,ES,Towers with Radar,"2,021",82,21,4,"2,128",0,0,0,"2,128"
12/01/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,549,86,162,23,820,0,40,40,860
12/01/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,556,109,150,16,831,0,0,0,831
12/01/2022,BOS,MA,ANE,EN,Towers with Radar,943,196,49,5,"1,193",0,0,0,"1,193"
12/01/2022,BWI,MD,AEA,EN,Towers with Radar,532,71,47,2,652,0,0,0,652
12/01/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,155",176,94,3,"1,428",0,0,0,"1,428"
12/01/2022,DCA,DC,AEA,EN,Towers with Radar,893,14,23,3,933,0,0,0,933
12/01/2022,DEN,CO,ANM,WE,Towers with Radar,"1,459",277,15,0,"1,751",0,0,0,"1,751"
12/01/2022,DFW,TX,ASW,CE,Towers with Radar,"1,710",62,19,4,"1,795",0,0,0,"1,795"
12/01/2022,DTW,MI,AGL,CE,Towers with Radar,724,62,4,0,790,0,0,0,790
12/01/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,181",48,61,0,"1,290",0,0,0,"1,290"
12/01/2022,FLL,FL,ASO,ES,Towers with Radar,653,108,89,2,852,0,0,0,852
12/01/2022,IAD,VA,AEA,EN,Towers with Radar,468,258,155,0,881,0,0,0,881
12/01/2022,IAH,TX,ASW,CE,Towers with Radar,938,151,32,0,"1,121",0,0,0,"1,121"
12/01/2022,JFK,NY,AEA,EN,Towers with Radar,"1,281",19,51,0,"1,351",0,0,0,"1,351"
12/01/2022,LAS,NV,AWP,WE,Towers with Radar,"1,108",365,136,45,"1,654",0,0,0,"1,654"
12/01/2022,LAX,CA,AWP,WE,Towers with Radar,"1,403",78,43,3,"1,527",0,0,0,"1,527"
12/01/2022,LGA,NY,AEA,EN,Towers with Radar,"1,159",29,14,0,"1,202",0,0,0,"1,202"
12/01/2022,MCO,FL,ASO,ES,Towers with Radar,"1,005",43,58,4,"1,110",0,0,0,"1,110"
12/01/2022,MDW,IL,AGL,CE,Towers with Radar,465,91,71,2,629,0,0,0,629
12/01/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,189",110,69,0,"1,368",0,0,0,"1,368"
12/01/2022,MSP,MN,AGL,CE,Towers with Radar,752,94,14,9,869,0,0,0,869
12/01/2022,ORD,IL,AGL,CE,Towers with Radar,"1,556",389,18,0,"1,963",0,0,0,"1,963"
12/01/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,610,144,35,0,789,0,0,0,789
12/01/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,068",125,84,7,"1,284",0,0,0,"1,284"
12/01/2022,SAN,CA,AWP,WE,Towers with Radar,537,47,26,5,615,0,0,0,615
12/01/2022,SEA,WA,ANM,WE,Towers with Radar,911,12,2,0,925,0,0,0,925
12/01/2022,SFO,CA,AWP,WE,Towers with Radar,851,72,24,10,957,0,0,0,957
12/01/2022,SLC,UT,ANM,WE,Towers with Radar,623,131,91,7,852,0,0,0,852
12/01/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,469,94,86,2,651,0,0,0,651
12/02/2022,ATL,GA,ASO,ES,Towers with Radar,"1,997",78,22,0,"2,097",0,0,0,"2,097"
12/02/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,560,70,118,5,753,0,0,0,753
12/02/2022,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,540,77,109,8,734,0,0,0,734
12/02/2022,BOS,MA,ANE,EN,Towers with Radar,937,158,24,4,"1,123",0,0,0,"1,123"
12/02/2022,BWI,MD,AEA,EN,Towers with Radar,538,50,32,2,622,0,0,0,622
12/02/2022,CLT,NC,ASO,ES,Combined TRACON & Tower with Radar,"1,148",174,82,2,"1,406",0,0,0,"1,406"
12/02/2022,DCA,DC,AEA,EN,Towers with Radar,880,14,18,5,917,0,0,0,917
12/02/2022,DEN,CO,ANM,WE,Towers with Radar,"1,476",272,6,0,"1,754",0,0,0,"1,754"
12/02/2022,DFW,TX,ASW,CE,Towers with Radar,"1,678",74,12,0,"1,764",0,0,0,"1,764"
12/02/2022,DTW,MI,AGL,CE,Towers with Radar,720,60,7,0,787,0,0,0,787
12/02/2022,EWR,NJ,AEA,EN,Towers with Radar,"1,123",51,65,0,"1,239",0,0,0,"1,239"
12/02/2022,FLL,FL,ASO,ES,Towers with Radar,647,88,118,1,854,0,0,0,854
12/02/2022,IAD,VA,AEA,EN,Towers with Radar,464,220,111,0,795,0,0,0,795
12/02/2022,IAH,TX,ASW,CE,Towers with Radar,947,132,23,0,"1,102",0,0,0,"1,102"
12/02/2022,JFK,NY,AEA,EN,Towers with Radar,"1,251",23,61,2,"1,337",0,0,0,"1,337"
12/02/2022,LAS,NV,AWP,WE,Towers with Radar,"1,126",487,222,34,"1,869",0,0,0,"1,869"
12/02/2022,LAX,CA,AWP,WE,Towers with Radar,"1,419",68,40,1,"1,528",0,0,0,"1,528"
12/02/2022,LGA,NY,AEA,EN,Towers with Radar,"1,147",17,14,0,"1,178",0,0,0,"1,178"
12/02/2022,MCO,FL,ASO,ES,Towers with Radar,"1,032",61,22,3,"1,118",0,0,0,"1,118"
12/02/2022,MDW,IL,AGL,CE,Towers with Radar,470,81,63,0,614,0,0,0,614
12/02/2022,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"1,172",123,47,2,"1,344",0,0,0,"1,344"
12/02/2022,MSP,MN,AGL,CE,Towers with Radar,725,92,22,3,842,0,0,0,842
12/02/2022,ORD,IL,AGL,CE,Towers with Radar,"1,579",379,10,0,"1,968",0,0,0,"1,968"
12/02/2022,PHL,PA,AEA,EN,Combined TRACON & Tower with Radar,579,132,23,5,739,0,0,0,739
12/02/2022,PHX,AZ,AWP,CE,Towers with Radar,"1,054",129,78,6,"1,267",0,0,0,"1,267"
12/02/2022,SAN,CA,AWP,WE,Towers with Radar,536,57,39,3,635,0,0,0,635
12/02/2022,SEA,WA,ANM,WE,Towers with Radar,"1,001",16,0,0,"1,017",0,0,0,"1,017"
12/02/2022,SFO,CA,AWP,WE,Towers with Radar,847,84,13,14,958,0,0,0,958
12/02/2022,SLC,UT,ANM,WE,Towers with Radar,609,134,154,9,906,0,0,0,906
12/02/2022,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,468,55,98,0,621,0,0,0,621
12/03/2022,ATL,GA,ASO,ES,Towers with Radar,"1,754",49,21,0,"1,824",0,0,0,"1,824"
12/03/2022,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,422,33,77,10,542,0,0,0,542
